id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
2597,POPA,GHEORGHE,38,VÂLCEA,170952,LUNGEŞTI,inginer,inginer,40,VÂLCEA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,1
2598,MIU,ALINA-FLORENTINA,38,VÂLCEA,172894,SĂLĂTRUCEL,CHIMIST,CHIMIST,40,VÂLCEA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
2599,CĂRTUȘANU,ION,38,VÂLCEA,173686,ŞIRINEASA,INGINER,INGINER,40,VÂLCEA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
2600,OPRESCU,CORINA,38,VÂLCEA,174254,VOINEASA,DIRECTOR,JURIST,40,VÂLCEA,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,6
2601,BRÎNZAN,MARIA,38,VÂLCEA,174290,ZĂTRENI,ASISTENT MEDICAL,ASISTENT MEDICAL,40,VÂLCEA,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
2602,SUCIU,NICOLAE,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,PREFESOR UNIVERSITAR,MEDIC,5,BIHOR,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
2603,CORLĂȚEAN,TITUS,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,SENATOR,JURIST,16,DÂMBOVIŢA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
2604,CHIRILĂ-FILIP,VASILICA-ANDREEA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,JURIST,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,19
2605,IORDACHE,LORENA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,JURIST,JURIST,11,CARAŞ-SEVERIN,CD,P,18,PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL) (PPU) ,1
2606,RĂDULESCU,CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,SENATOR,MEDIC,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,8
2607,BEJINARIU,EUGEN,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,DEPUTAT,ECONOMIST,35,SUCEAVA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
2608,CHIȚOIU,DANIEL,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,DEPUTAT,ECONOMIST,29,NEAMŢ,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
2609,HĂRĂBOR,DRAGOŞ,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,DIRECTOR MARKETING,TEHNICIAN,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,30
2611,BENCHESCU,BIANCA ŞTEFANIA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,STUDENT,-,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,29
2612,JUGĂNARU,DANIELA-MARIA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,-,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,30
2613,PETRESCU,CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,ADMINISTRATOR FIRMĂ,MANAGER TURISM,29,NEAMŢ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
2614,IONIŢĂ,CLAUDIU-ŞTEFAN,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,INGINER PROIECTANT,INGINER,5,BIHOR,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),12
2615,CHIRICUŢĂ,FLORINA-GINETA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,LUCRĂTOR COMERCIAL,PROFESOR,42,MUNICIPIUL BUCUREŞTI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,22
2616,PREDA,CRISTINA-DANA,40,MUNICIPIUL BUCUREŞTI,179141,BUCUREŞTI SECTORUL 1,ECONOMIST,ECONOMIST,43,Diaspora,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,5
2617,ŞTEŢCO,IOAN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,CONSILIER PARLAMENTUL ROMÂNIEI SENAT,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,20
2618,BARBU,SULFINA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,DIRECTOR,INGINER GEOFIZICIAN,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,6
2619,PÎSLĂ,OCTAVIAN-MARIUS,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,INGINER,14,CONSTANŢA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,14
2620,ARAMA,ANGELA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,EDITORIALIST,"JURNALIST, PRODUCĂTOR TV",43,Diaspora,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
2621,BOGDAN,TATIANA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,CONTABIL,42,MUNICIPIUL BUCUREŞTI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,24
2622,HEGYI,ANAMARIA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,OPERATOR TEHNIC,OPERATOR TEHNIC,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,30
2623,MATEI,MARIAN-ROBERT,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,RECEPȚIONER HOTELIER,RECEPȚIONER HOTELIER,26,MARAMUREŞ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),4
2624,MUSTĂŢEA,CONSTANTIN-SORIN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,MANAGER SC,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,31
2625,GEICU,ANDREI-DANIEL,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,STUDENT,STUDENT,26,MARAMUREŞ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),5
2626,GANCEA,MARIA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,FUNCȚIONAR ECONOMIC,ECONOMIST,26,MARAMUREŞ,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),7
2627,ZAHARIA,RĂZVAN-CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,INSPECTOR IR-CNCIR S.A,INGINER DIPLOMAT,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,36
2628,CONSTANTINESCU,VALENTINA-MARIANA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,CONTABIL,26,MARAMUREŞ,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),3
2629,MOGOŞ,GABRIEL,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,REFERENT LA CABINET NICOLĂESCU GHE. EUGEN,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,35
2630,FLORESCU,ŞTEFAN-DAN,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,EXPERT CONTABIL,EXPERT CONTABIL,42,MUNICIPIUL BUCUREŞTI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,18
2631,PASC,MARIA,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,CONTABIL,42,MUNICIPIUL BUCUREŞTI,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,5
2632,VOICULESCU,ADRIAN-VIRGILIU,40,MUNICIPIUL BUCUREŞTI,179150,BUCUREŞTI SECTORUL 2,PENSIONAR,CĂPITAN DE CURSĂ LUNGĂ,42,MUNICIPIUL BUCUREŞTI,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,6
2633,GRADU,ADRIANA-MĂDĂLINA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,AVOCAT,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,25
2634,NECHITA-BURCULEŢ,CONSTANTIN-ŞERBAN,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,GRAFICIAN,URBANIST-ARHITECT,5,BIHOR,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),1
2635,NAGY,EVA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,DIRECTOR DE CABINET,FILOLOG,3,ARGEŞ,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
2636,BUJDUVEANU,STELIAN,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,JURIST CONSULT,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,23
2637,POCORA,CRISTINA-ANCUȚA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,DEPUTAT,ANALIST POLITIC,23,IALOMIŢA,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
2638,IOAN,MARIUS-IONEL,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,CONSILIER PARLAMENTAR,LICENȚIAT ÎN ȘTIINȚE POLITICE ȘI ADMINISTRATIVE,43,Diaspora,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
2639,GEORGESCU,ADRIANA MIHAELA,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,CONSILIER JURIDIC,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,24
2640,POP,SERGIU,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,JURIST,JURIST,32,SATU MARE,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
2641,BARBĂROȘIE,ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,PREȘEDINTE DE RAION ANENII NOI,PROFESOR,43,Diaspora,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
2642,KANSOU,HAZEM,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,DIRECTOR ADJUNCT,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,16
2643,BURLACU,OLEG,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,AVOCAT,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,18
2644,COCIOCEANU,ADRIAN-NICOLAE,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,PROGRAMATOR,URBANIST-ARHITECT,5,BIHOR,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),4
2645,PODAR,MARIAN-VASILE,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,JURIST,JURIST,43,Diaspora,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,6
2646,RĂDUCANU,MARIUS-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179169,BUCUREŞTI SECTORUL 3,TEOLOG,ASOCIAT,43,Diaspora,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
2647,DINU,GHEORGHE,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,AVOCAT,JURIST,14,CONSTANŢA,CD,CI,,,
2648,ANDRAŞ,IBOLYA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,COORDONATOR BIROU,ASISTENT PRESĂ,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,17
2649,TRĂILĂ,CRISTINA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,AVOCAT,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
2650,BORZA,REMUS-ADRIAN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,AVOCAT,AVOCAT,8,BRAŞOV,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
2651,ANDRAŞ,ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,ŞOFER,ŞOFER,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,11
2652,ALEXANDRESCU,CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,PROFESOR,MATEMATICIAN,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,22
2653,ȘARAMET,VEACESLAV,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,MEDIC DENTIST,MEDIC DENTIST,43,Diaspora,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
2654,ENESCU,ŞERBAN-PETRU,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,-,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,33
2655,DANCĂ,EMANUEL-CRISTIAN,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,FUNCŢIONAR PUBLIC,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,6
2656,MIHALY,VIOLETA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,AGENT ASIGURĂRI,AGENT ASIGURĂRI,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,31
2657,CALISTA,MARA-DANIELA,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,FARA OCUPAȚIE,ABSOLVENT ȘTIINȚE POLITICE,36,TELEORMAN,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
2658,PUNGĂ,NICOLAE,40,MUNICIPIUL BUCUREŞTI,179178,BUCUREŞTI SECTORUL 4,ACTOR,ACTOR,43,Diaspora,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,3
2659,DUNCA,FELICIA-ANCUŢA,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,FUNCŢIONAR PUBLIC,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,28
2660,VIŞAN,HORIA-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,ARHITECT STAGIAR,ARHITECT,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,15
2661,MILITARU,CIPRIAN-DAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,PROGRAMATOR,INGINER,14,CONSTANŢA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,11
2662,CARP,RADU,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,PROFESOR UNIVERSITAR,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,9
2663,LUNKA,ROBERT-IOAN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,AGENT DE VANZARE,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,26
2664,UȚANU,VALENTIN,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,INSTALATOR,INSTALATOR TEHNICO-SANITARE,14,CONSTANŢA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,13
2665,FLOREA,CRISTINA-ALEXANDRA,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,CONSILIER LA SENATUL ROMÂNIEI,LICENŢIATĂ ÎN RELAŢII INTERNAŢIONALE,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,27
2666,COSTACHE,BOGDAN-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,MANAGER,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,21
2667,MATEI,ION,40,MUNICIPIUL BUCUREŞTI,179187,BUCUREŞTI SECTORUL 5,PENSIONAR,MAISTRU PRELUCRĂRI AŞCHIERE,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,26
2668,DEAC,ANDREEA-IOANA,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,ADMINISTRATOR BAZE DE DATE,ECONOMIST,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,26
2669,RAEŢCHI,OVIDIU-ALEXANDRU,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,DEPUTAT,ANALIST POLITIC,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
2670,BALAZS,ELZA,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,EDUCATOARE,EDUCATOARE,42,MUNICIPIUL BUCUREŞTI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,19
2671,DIMA,CORNEL,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,PENSIONAR MAPN,OFIŢER INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,33
2672,MINEA,IONEL,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,DIRECTOR GENERAL,INGINER,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,32
2673,VINTILĂ,MARIUS-ŞTEFAN,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,DIRECTOR GENERAL-ADMINISTRATOR SC,LICENŢIAT ŞTIINŢE POLITICE ŞI SOCIOLOGIE,42,MUNICIPIUL BUCUREŞTI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,7
2674,MÂNDREA-MURARU,MIHAELA,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,PENSIONAR,JURIST,42,MUNICIPIUL BUCUREŞTI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,31
2675,CIURARU,GABRIEL,40,MUNICIPIUL BUCUREŞTI,179196,BUCUREŞTI SECTORUL 6,COST CONTROLLER,ECONOMIST,37,TIMIŞ,S,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),6
2676,HAȚEGAN,MARIUS-ADRIAN,1,ALBA,1017,MUNICIPIUL ALBA IULIA,DIRECTOR UAB,JURIST,1,ALBA,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),1
2677,TODOSIU,BENIAMIN,1,ALBA,1017,MUNICIPIUL ALBA IULIA,ADMINISTRATOR,TEHNICIAN DENTAR,1,ALBA,CD,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),2
2678,DĂRĂMUȘ,EUGENIA-MARCELA,1,ALBA,1017,MUNICIPIUL ALBA IULIA,INSPECTOR ȘCOLAR GENERAL,PROFESOR,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
2679,CLEPAN,DIMITRIE-HORAȚIU,1,ALBA,1017,MUNICIPIUL ALBA IULIA,MANAGER SOCIETATE COMERCIALĂ,ECONOMIST,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
2680,DÎRZU,IOAN,1,ALBA,1017,MUNICIPIUL ALBA IULIA,DEPUTAT,MEDIC VETERINAR JURIST,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
2681,POPESCU,VIORICA,1,ALBA,1017,MUNICIPIUL ALBA IULIA,VANZATOARE,PENSIONAR,1,ALBA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,3
2682,SIMA,DOMNINCA-MONICA,1,ALBA,1017,MUNICIPIUL ALBA IULIA,PROFESOR,PROFESOR,1,ALBA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,1
2683,SUCIU,CORNEL,1,ALBA,1017,MUNICIPIUL ALBA IULIA,CONSILIER SUPERIOR,ECONOMIST,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
2684,ARION,COSMIN,1,ALBA,1017,MUNICIPIUL ALBA IULIA,AVOCAT,AVOCAT,1,ALBA,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,5
2685,POPESCU,MARIUS-CIPRIAN,1,ALBA,1017,MUNICIPIUL ALBA IULIA,INGINER,INGINER,1,ALBA,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,7
2686,CALO,DORIN-MARIUS,1,ALBA,1213,MUNICIPIUL AIUD,MAGAZIONER,PSIHOLOG,1,ALBA,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),4
2687,BĂRBULET,GABRIEL-DAN,1,ALBA,1348,MUNICIPIUL BLAJ,LECTOR UNIVERSITAR,PROFESOR,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
2688,CRISTEA,PETRU,1,ALBA,1348,MUNICIPIUL BLAJ,INGINER AGRONOM,PENSIONAR,1,ALBA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,4
2689,FARA,MARIA,1,ALBA,1874,MUNICIPIUL SEBEŞ,ADMINISTRATOR,GRAFICIAN,1,ALBA,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
2690,ARON,ELENA,1,ALBA,1874,MUNICIPIUL SEBEŞ,INTERMEDIAR IN ASIGURARI,ECONOMIST,1,ALBA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
2692,GOIA,ANA-MARIA,1,ALBA,1874,MUNICIPIUL SEBEŞ,VÂNZĂTOR,ECONOMIST,1,ALBA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,2
2693,GOIA,DAN,1,ALBA,1874,MUNICIPIUL SEBEŞ,ADMINISTRATOR,VÂNZĂTOR,1,ALBA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,3
2694,BĂRĂBANȚ,MARIA-CORNELIA,1,ALBA,1696,ORAŞ CUGIR,CONTABIL,CONTABIL,1,ALBA,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),2
2695,MURG,CORNEL,1,ALBA,1696,ORAŞ CUGIR,INGINER,INGINER,1,ALBA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
2696,RUSU,IOAN,1,ALBA,1696,ORAŞ CUGIR,PROFESOR,PENSIONAR,1,ALBA,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,2
2697,ISPAS,AUREL-COSTICĂ,1,ALBA,1794,ORAŞ OCNA MUREŞ,DIRECTOR,INGINER,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,7
2698,FRĂȚILĂ,ANA-ELISABETA,1,ALBA,8096,ORAŞ TEIUŞ,PROFESOR,PROFESOR,1,ALBA,S,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),3
2699,DEMENIC,DANIEL,1,ALBA,1936,ORAŞ ZLATNA,ADMINISTRATOR,ADMINISTRATOR,1,ALBA,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,6
2700,BERINDEI,CONSTANTIN,1,ALBA,3039,BISTRA,ADMINISTRATOR,DULGHER,1,ALBA,S,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
2701,GAVRILAȘ-WEBER,ALIN- ROBERT,1,ALBA,1071,CIUGUD,SOLIST VOCAL,ECONOMIST,1,ALBA,CD,P,110,ALIANȚA NOASTRĂ ROMÂNIA (ANR),3
2702,DĂMIAN,GHEORGHE,1,ALBA,1071,CIUGUD,PRIMAR,ECONOMIST,1,ALBA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
2703,DĂIAN,ILIE,1,ALBA,9019,CUT,FERMIER,TRATAMENTIST,1,ALBA,CD,P,48,PARTIDUL SOCIALIST ROMÂN (PSR) ,1
2704,CRIȘAN,IERONIM,1,ALBA,5210,LOPADEA NOUĂ,FUNCȚIONAR PUBLIC,PENSIONAR FERMIER,1,ALBA,CD,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,2
2705,SÂRB,VALER-IOAN,1,ALBA,5336,LUPŞA,INGINER,INGINER,1,ALBA,S,P,16,PARTIDUL ROMÂNIA MARE (PRM) ,1
2706,CORNEA,EUGEN-IOAN,1,ALBA,6761,ROŞIA MONTANĂ,PENSIONAR,TEHNICIAN TOPOGRAF,1,ALBA,S,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),1
