id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
72,PĂUN,MARIO OCTAVIAN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,ANTREPRENOR,ECONOMIST,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,12
73,ALEXĂNDRESCU,MIHAI-ALEXANDRU,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,JURNALIST,JURNALIST,3,ARGEŞ,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
74,NIȚĂ,VICTOR,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,ADMINISTRATOR,JURIST,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,6
75,BUCURA-OPRESCU,SIMONA,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DEPUTAT,ECONOMIST,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
76,ZĂRNESCU,MAGDALENA-CRINA,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,CONFERENȚIAR UNIVERSITAR DOCTOR,PROFESOR,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,11
77,BULF,CORNEL-CĂTĂLIN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DIRECTOR,INGINER,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,1
78,PREDA,MARIN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,PROFESOR ASOCIAT UNIVERSITATE,DOCTOR INGINER,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,10
79,GALBENU,FLOAREA-LUMINIȚA,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,MEDIC,MEDIC,3,ARGEŞ,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
80,SÎRBU,GHEORGHE,3,ARGEŞ,13490,MUNICIPIUL CÂMPULUNG,PENSIONAR,PROFESOR,3,ARGEŞ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
81,FĂGĂRĂȘANU,GHEORGHE,3,ARGEŞ,13490,MUNICIPIUL CÂMPULUNG,ADMINISTRATOR,LĂCĂTUȘ MECANIC,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,5
82,FĂGĂRĂȘU,SILVIU,3,ARGEŞ,13622,MUNICIPIUL CURTEA DE ARGEŞ,DIRECTOR,INGINER,3,ARGEŞ,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,1
83,STĂNCIULESCU,GABRIEL-MIHAI,3,ARGEŞ,13622,MUNICIPIUL CURTEA DE ARGEŞ,PENSIONAR,JURIST,3,ARGEŞ,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,6
84,PREOTEASA,MARIANA,3,ARGEŞ,13622,MUNICIPIUL CURTEA DE ARGEŞ,ȘEF SERVICIU,INGINER,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
85,BAICEA,ION,3,ARGEŞ,13668,ORAŞ COSTEŞTI,PRIMAR,INGINER,3,ARGEŞ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
86,STANCU,DANIEL-SORIN,3,ARGEŞ,13668,ORAŞ COSTEŞTI,MONITOR MEDIU ÎNCONJURĂTOR,SPECIALIST ÎN ADMINISTRAȚIE,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,7
87,VLAD,CONSTANTIN CĂTĂLIN,3,ARGEŞ,13301,ORAŞ MIOVENI,INGINER,INGINER,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
88,BĂRĂSCU,NARCIS IONUȚ,3,ARGEŞ,13301,ORAŞ MIOVENI,INGINER,INGINER,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,12
89,GHERGHESCU,CONSTANTIN-MARIAN,3,ARGEŞ,13301,ORAŞ MIOVENI,OPERATOR INDUSTRIAL,TEHNICIAN,3,ARGEŞ,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
90,POPESCU,SORIN-IONUȚ,3,ARGEŞ,13301,ORAŞ MIOVENI,CONSILIER IMAGINE,JURIST,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,7
91,STOIAN,ION-LIVIU,3,ARGEŞ,13392,ORAŞ ŞTEFĂNEŞTI,ADMINISTRATOR,ANTREPRENOR,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,5
92,GORGOI,VERGILIU,3,ARGEŞ,13392,ORAŞ ŞTEFĂNEŞTI,PROFESOR,INGINER,3,ARGEŞ,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,12
