"MITREA ELENA";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S4 Bacau";25971
"SIMOVICI DORU";"PARTIDUL DEMOCRAT LIBERAL";"S4 Bacau";18382
"MIRONESCU ADRIAN";"PARTIDUL NATIONAL LIBERAL";"S4 Bacau";13927
"SELARU RODICA";"PARTIDUL ROMÂNIA MARE";"S4 Bacau";1656
"MOISA MIHAEL";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S4 Bacau";900
"SAROSI MARIA";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S4 Bacau";719
"GRECU VASILE";"PARTIDUL VERDE ECOLOGIST";"S4 Bacau";687
"GHERASIM IONUT-ADRIAN";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S4 Bacau";494
"CSEKE ATTILA-ZOLTAN";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Bihor";27833
"GHILEA GAVRILA";"PARTIDUL DEMOCRAT LIBERAL";"S1 Bihor";6357
"MINTAS IOAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Bihor";6169
"BENTAN EMIL";"PARTIDUL NATIONAL LIBERAL";"S1 Bihor";4858
"CLEPE FLORIN-SABIN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Bihor";826
"HATHAZI FRANCISC-IOAN";"PARTIDUL ROMÂNIA MARE";"S1 Bihor";806
"POPA CORNEL";"PARTIDUL NATIONAL LIBERAL";"S2 Bihor";26416
"LUCA DOREL";"PARTIDUL DEMOCRAT LIBERAL";"S2 Bihor";13143
"ODOBASIANU NICU-SILVIU";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Bihor";9911
"SZOBOSZLAI-GASPARISTVÂN";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Bihor";2478
"DRECIN MIHAI-DORIN";"PARTIDUL ROMÂNIA MARE";"S2 Bihor";1933
"DEACONESCU VALERIU- GHEORGHE";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Bihor";1002
"FILIP PETRU";"PARTIDUL DEMOCRAT LIBERAL";"S3 Bihor";16720
"SCRIDON SMARANDA- ROZAURA-MARIA";"PARTIDUL NATIONAL LIBERAL";"S3 Bihor";13619
"PA VEL FLORIAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S3 Bihor";13164
