"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","1 Arad",6
"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","1 Arad",10
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","1 Arad",3
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","1 Arad",7
"BIRIS IOAN","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","2 Arad",2954
"TOTH CSABA","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","2 Arad",2057
"BOGHICEVICI CLAUDIA","PARTIDUL DEMOCRAT LIBERAL","2 Arad",9171
"DRÂGAN GHEORGHE","PARTIDUL NATIONAL LIBERAL","2 Arad",2302
"NEAMT VALENTIN-PAUL","PARTIDUL ROMÂNIA MARE","2 Arad",693
"DUCKADAM HELMUT","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","2 Arad",550
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","2 Arad",29
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","2 Arad",48
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","2 Arad",29
"ZISOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","2 Arad",14
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","2 Arad",10
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","2 Arad",24
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","2 Arad",48
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","2 Arad",13
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","2 Arad",76
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","2 Arad",28
"MERKA ADRIAN­MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","2 Arad",17
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","2 Arad",91
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","2 Arad",4
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","2 Arad",8
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","2 Arad",4
"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","2 Arad",5
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","2 Arad",5
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","2 Arad",5
"VODICEAN IOAN","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","3 Arad",2333
"KIRALY ANDREI-GHEORGHE","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","3 Arad",1984
"NITU ADRIAN-HENOREL","PARTIDUL DEMOCRAT LIBERAL","3 Arad",8996
"IFRIM-CHEN MIRCEA","PARTIDUL NATIONAL LIBERAL","3 Arad",1481
"HERBEI MARIUS-HOREA","PARTIDUL ROMÂNIA MARE","3 Arad",608
"BENIUC TEODOR","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","3 Arad",285
"RAD AN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","3 Arad",8
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","3 Arad",34
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","3 Arad",15
"ZISOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","3 Arad",10
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","3 Arad",6
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","3 Arad",54
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","3 Arad",58
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","3 Arad",34
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","3 Arad",75
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","3 Arad",26
"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","3 Arad",17
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","3 Arad",184
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","3 Arad",9
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","3 Arad",12
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","3 Arad",5
"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","3 Arad",15
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","3 Arad",4
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","3 Arad",11
"ARDELEAN LIA","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","4 Arad",5820
"BUZA GAVRIL","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","4 Arad",2428
"MATULAIOSIF","PARTIDUL DEMOCRAT LIBERAL","4 Arad",8787
"CALIMENTE MIHÂITA","PARTIDUL NATIONAL LIBERAL","4 Arad",5747
"FLORINCUTA ALEXANDRINA","PARTIDUL ROMÂNIA MARE","4 Arad",631
"COJOC ARU NICU","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","4 Arad",459
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","4 Arad",39
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","4 Arad",50
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","4 Arad",34
"ZISOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","4 Arad",13
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","4 Arad",8
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","4 Arad",153
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","4 Arad",54
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","4 Arad",26
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","4 Arad",27
"MANOLESCU O ANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","4 Arad",44
"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","4 Arad",66
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","4 Arad",52
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","4 Arad",22
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","4 Arad",24
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","4 Arad",15
